,CPU_A,RAM_A,CPU_B,RAM_B,CPU_C,RAM_C
0,0.36,0.7,0.3,0.7,0.8,0.7
1,0.69,0.4,0.5,0.5,0.17,0.7
2,0.93,0.6,0.73,0.7,0.83,0.7
3,0.3,0.7,0.59,0.4,0.62,0.4
4,0.44,0.7,0.68,0.3,0.33,0.4
5,0.35,0.6,0.68,0.4,0.27,0.6
6,0.83,0.7,0.7,0.5,0.8,0.6
7,0.66,0.3,0.91,0.6,0.28,0.4
8,0.22,0.6,0.29,0.3,0.44,0.4
9,0.38,0.4,0.77,0.5,0.3,0.3
10,0.77,0.7,0.22,0.4,0.51,0.6
11,0.94,0.3,0.72,0.4,0.69,0.5
12,0.38,0.6,0.28,0.4,0.92,0.4
13,0.35,0.6,0.15,0.5,0.97,0.7
14,0.64,0.4,0.49,0.4,0.83,0.7
15,0.17,0.5,0.28,0.6,0.69,0.6
16,0.66,0.8,0.27,0.4,0.56,0.4
17,0.34,0.5,0.84,0.5,0.65,0.7
18,0.28,0.4,0.52,0.5,0.96,0.8
19,0.4,0.7,0.93,0.4,0.75,0.4
20,0.52,0.7,0.29,0.4,0.33,0.3
21,0.39,0.6,0.94,0.6,0.96,0.4
22,0.43,0.7,0.33,0.4,0.7,0.4
23,0.85,0.7,0.69,0.7,0.12,0.6
24,0.47,0.7,0.52,0.7,0.86,0.3
25,0.48,0.4,0.31,0.4,0.56,0.5
26,0.36,0.5,0.48,0.5,0.71,0.7
27,0.14,0.7,0.21,0.6,0.34,0.6
28,0.28,0.5,0.86,0.6,0.3,0.6
29,0.12,0.7,0.5,0.5,0.31,0.7
30,0.67,0.5,0.84,0.6,0.29,0.8
31,0.55,0.7,0.5,0.5,0.6,0.6
32,0.19,0.6,0.34,0.6,0.36,0.3
33,0.9,0.8,0.21,0.7,0.6,0.6
34,0.64,0.6,0.12,0.6,0.41,0.7
35,0.86,0.5,0.32,0.6,0.34,0.6
36,0.63,0.7,0.44,0.8,0.61,0.3
37,0.29,0.8,0.5,0.8,0.3,0.6
38,0.17,0.4,0.77,0.7,0.32,0.5
39,0.96,0.3,0.22,0.6,0.78,0.6
40,0.44,0.6,0.38,0.7,0.41,0.7
41,0.56,0.8,0.16,0.7,0.95,0.4
42,0.78,0.8,0.51,0.5,0.95,0.4
43,0.42,0.5,0.95,0.5,0.22,0.5
44,0.23,0.7,0.57,0.5,0.85,0.8
45,0.58,0.8,0.35,0.6,0.25,0.3
46,0.81,0.4,0.21,0.7,0.66,0.5
47,0.93,0.3,0.82,0.6,0.88,0.7
48,0.61,0.4,0.96,0.4,0.46,0.7
49,0.3,0.7,0.97,0.7,0.5,0.3
50,0.33,0.6,0.9,0.7,0.84,0.6
51,0.18,0.8,0.69,0.6,0.36,0.8
52,0.91,0.8,0.85,0.6,0.85,0.3
53,0.16,0.4,0.61,0.7,0.87,0.7
54,0.33,0.5,0.92,0.7,0.9,0.6
55,0.43,0.6,0.37,0.4,0.94,0.4
56,0.16,0.4,0.96,0.6,0.87,0.5
57,0.56,0.3,0.89,0.3,0.35,0.4
58,0.45,0.8,0.64,0.6,0.73,0.8
59,0.38,0.5,0.96,0.6,0.72,0.6
60,0.52,0.7,0.36,0.7,0.75,0.3
61,0.28,0.8,0.86,0.5,0.57,0.4
62,0.44,0.4,0.82,0.8,0.72,0.8
63,0.16,0.7,0.13,0.5,0.96,0.8
64,0.23,0.7,0.21,0.7,0.6,0.4
65,0.11,0.4,0.16,0.6,0.41,0.7
66,0.68,0.4,0.63,0.6,0.85,0.6
67,0.43,0.5,0.51,0.4,0.87,0.5
68,0.94,0.7,0.12,0.6,0.47,0.6
69,0.84,0.7,0.56,0.6,0.85,0.3
70,0.16,0.4,0.3,0.5,0.92,0.8
71,0.41,0.7,0.13,0.8,0.46,0.8
72,0.72,0.8,0.27,0.6,0.1,0.6
73,0.36,0.5,0.28,0.7,0.38,0.4
74,0.11,0.3,0.71,0.7,0.17,0.4
75,0.72,0.6,0.86,0.4,0.67,0.6
76,0.41,0.5,0.6,0.6,0.7,0.4
